Player,Age,Pos,Squad,Nation,std_MP,std_Min,pass_Cmp%,pass_PrgDist,pass_KP,pass_1/3,pass_PPA,pass_PrgP,passt_TB,passt_Sw,passt_Crs,gca_PassLive,gca_PassDead,poss_Carries,poss_PrgDist,poss_PrgC,poss_1/3,poss_CPA,gca_TO,gca_Sh,gca_Fld,def_Tkl,def_TklW,def_Int,def_Tkl+Int,def_Blocks,def_Pass,def_Def 3rd,def_Mid 3rd,def_Att 3rd,misc_TklW,misc_Recov,misc_Won,misc_Lost,misc_Fls,misc_Fld,poss_Mis,poss_Dis,def_Lost,std_Gls,std_Ast,std_xG,std_xAG,std_PrgR,shoot_Sh,std_CrdY,std_CrdR,std_90s,pt_Min%,pt_Mn/MP,Cluster,Archetype,Archetype_Score,Anchor_Score,DLP_Score,BallWinner_Score,BoxToBox_Score,APM_Score,CAM_Score,BoxCrasher_Score,Primary_Archetype,Secondary_Archetype,Overall_Rating
Ringo Meerveld,23.0,MF,Willem II,nl NED,33.0,2900.0,91,41,52,69,75,70,29,71,26,85,5,72,93,56,68,24,100,20,67,11,8,23,15,42,51,18,14,12,8,59,3,8,16,100,53,77,32,17,18,15,37,45,35,25,0,98,98,98,0,DLP/CAM,84,49,84,39,71,81,82,66,DLP,CAM,74.1
Roberto González,23.0,MF,NEC Nijmegen,es ESP,17.0,985.0,1,0,7,7,13,3,6,6,31,10,14,11,15,16,16,6,33,73,33,1,3,0,0,9,18,9,0,25,3,8,5,13,21,48,12,17,12,8,9,19,10,19,29,12,0,15,15,38,1,BoxCrasher,60,12,6,9,20,16,40,60,BoxCrasher,,10.9
Ryan Fosso,22.0,MF,Fortuna Sittard,ch SUI,30.0,2551.0,91,45,30,51,31,45,35,100,8,49,0,58,45,13,29,6,58,27,33,25,20,89,47,44,36,21,36,25,20,61,11,33,37,57,38,38,47,4,9,10,45,7,24,75,0,83,83,92,2,DLP,80,68,80,74,56,60,58,46,DLP,,59.0
Sami Ouaissa,19.0,MF,NEC Nijmegen,nl NED,33.0,1846.0,19,6,36,10,23,15,18,12,32,44,32,25,32,24,38,26,42,27,56,10,2,25,15,18,18,11,14,31,2,28,11,44,46,63,67,52,29,29,9,25,42,53,35,38,0,53,53,34,1,BoxCrasher/CAM,76,24,15,37,51,53,72,76,BoxCrasher,CAM,35.2
Sem Scheperman,22.0,MF,Heracles Almelo,nl NED,23.0,1639.0,82,24,7,38,0,27,0,29,1,18,5,28,26,10,12,2,0,13,22,63,55,59,66,67,62,57,66,50,55,39,35,51,61,26,12,12,68,4,9,7,5,6,10,87,100,44,44,64,2,BallWinner/Anchor,82,77,61,82,46,19,17,30,BallWinner,Anchor,40.8
Sem Steijn,22.0,MF,Twente,nl NED,33.0,2762.0,31,29,66,39,75,55,82,29,20,87,23,46,37,26,24,14,42,40,22,1,2,16,5,20,23,0,18,0,2,41,14,38,25,26,48,54,38,100,64,100,76,73,100,38,0,93,92,90,0,BoxCrasher,94,25,50,26,57,88,74,94,BoxCrasher,,73.2
Stije Resink,21.0,MF,Groningen,nl NED,26.0,2127.0,49,55,23,69,29,64,18,29,13,38,5,57,58,28,35,10,58,33,33,76,84,48,72,80,82,61,86,56,84,57,41,38,68,41,37,40,65,21,18,17,21,12,45,87,0,65,65,86,2,BallWinner/Anchor,87,82,74,87,68,51,56,70,BallWinner,Anchor,66.5
Tika de Jonge,21.0,MF,Groningen,nl NED,21.0,1271.0,27,24,12,32,19,38,6,41,22,21,9,25,28,14,24,2,8,0,0,30,22,36,34,29,28,30,36,25,22,19,21,29,25,15,23,17,18,4,9,6,10,6,16,38,100,28,28,44,1,Anchor/BallWinner,57,57,50,53,38,27,28,27,Anchor,BallWinner,26.7
Yassin Oukili,23.0,MF,RKC Waalwijk,nl NED,32.0,2208.0,49,26,50,34,25,40,12,29,8,75,0,42,44,32,48,12,25,27,44,55,52,45,56,42,46,64,46,38,52,64,40,44,53,46,53,37,53,25,27,29,34,40,51,50,100,68,68,60,2,BallWinner/Anchor,83,80,54,83,77,69,64,79,BallWinner,Anchor,62.1
Youri Regeer,20.0,MF,Twente,nl NED,19.0,1342.0,70,30,29,56,44,53,6,6,19,59,5,38,36,20,20,6,8,7,22,16,9,34,22,22,23,14,18,44,9,22,18,29,40,43,23,10,21,0,0,4,31,37,15,25,0,31,31,64,1,APM/DLP,58,33,55,47,49,58,50,25,APM,DLP,40.9
Zico Buurmeester,22.0,MF,AZ Alkmaar,nl NED,27.0,1195.0,62,20,30,26,40,29,18,12,11,41,27,27,29,16,16,10,33,7,0,17,12,23,20,24,28,16,26,25,12,30,12,27,32,11,23,15,18,17,9,19,18,18,22,0,0,25,25,10,1,BoxCrasher,56,40,39,42,39,47,46,56,BoxCrasher,,34.6
Zidane Iqbal,21.0,MF,Utrecht,iq IRQ,18.0,1449.0,100,44,25,52,40,58,6,18,5,46,5,45,47,11,32,0,17,13,0,11,12,34,18,0,0,14,22,0,12,42,0,5,14,43,18,10,21,4,0,3,16,3,17,38,0,36,36,84,1,DLP,73,39,73,44,42,47,45,28,DLP,,41.6
