Player,Age,Pos,Squad,Nation,std_MP,std_Min,Gls,Ast,pass_Cmp%,pass_PrgDist,pass_KP,pass_1/3,pass_PPA,pass_PrgP,passt_TB,passt_Sw,passt_Crs,gca_PassLive,gca_PassDead,poss_Carries,poss_PrgDist,poss_PrgC,poss_1/3,poss_CPA,gca_TO,gca_Sh,gca_Fld,def_Tkl,def_TklW,def_Int,def_Tkl+Int,def_Blocks,def_Pass,def_Def 3rd,def_Mid 3rd,def_Att 3rd,misc_TklW,misc_Recov,misc_Won,misc_Lost,misc_Fls,misc_Fld,poss_Mis,poss_Dis,def_Lost,std_Gls,std_Ast,std_xG,std_xAG,std_PrgR,shoot_Sh,std_CrdY,std_CrdR,std_90s,pt_Min%,pt_Mn/MP,Cluster,Archetype,Primary_Archetype,Secondary_Archetype,Archetype_Score,Secondary_Archetype_Score,Anchor_Score,DLP_Score,BallWinner_Score,BoxToBox_Score,APM_Score,Mezzala_Score,ShadowStriker_Score,Overall_Rating
Jorg Schreuders,19.0,MF,Groningen,nl NED,32.0,1940.0,5,1,45,9,34,14,54,26,18,18,14,57,0,31,40,37,32,32,25,7,11,23,23,14,21,36,49,14,38,31,23,26,2,70,67,35,58,54,71,21,9,15,34,70,22,75,100,57,57,44,1,APM,APM,,41,0,24,18,30,28,41,33,17,37
Joshua Kitolano,22.0,MF,Sparta R'dam,no NOR,27.0,1582.0,0,2,61,22,32,29,31,31,12,6,10,40,0,26,30,15,32,6,25,20,22,18,19,23,21,31,28,20,28,12,19,33,11,62,77,37,77,79,62,0,18,13,21,20,27,75,100,41,41,40,1,APM/BallWinner,APM,BallWinner,30,27,25,25,27,24,30,16,13,24
Julian Baas,22.0,MF,Sparta R'dam,nl NED,13.0,850.0,0,2,58,23,29,26,6,18,0,29,40,18,64,17,19,6,14,0,0,7,33,7,8,20,11,13,15,12,14,6,8,0,8,92,88,15,99,100,91,0,18,0,18,0,3,88,100,9,10,52,1,DLP,DLP,,30,0,13,30,18,8,19,8,1,24
Kees Smit,18.0,MF,AZ Alkmaar,nl NED,18.0,989.0,0,0,79,14,38,26,29,29,24,12,3,46,0,26,34,17,24,12,33,7,11,15,14,5,12,16,21,20,12,38,14,18,2,78,79,22,85,77,62,0,0,7,32,18,23,75,100,16,16,32,1,APM,APM,,36,0,12,26,19,20,36,19,8,29
Kenneth Taylor,22.0,MF,Ajax,nl NED,33.0,2447.0,9,6,61,48,57,49,92,79,41,18,40,84,41,63,84,58,60,44,25,20,11,25,22,34,29,38,41,27,28,31,22,32,21,63,33,70,47,71,53,37,55,47,82,77,50,62,100,79,79,70,0,APM,APM,,76,0,33,43,27,52,76,58,42,64
Kian Fitz-Jim,21.0,MF,Ajax,nl NED,27.0,1233.0,2,1,76,14,18,21,52,43,18,12,7,46,0,30,34,20,26,6,8,13,33,15,11,16,15,24,28,12,20,38,11,21,1,84,68,30,73,71,59,8,9,13,11,33,26,62,100,26,26,14,1,APM/BoxToBox,APM,BoxToBox,27,26,19,24,20,26,27,21,14,22
Kodai Sano,20.0,MF,NEC Nijmegen,jp JPN,25.0,1970.0,2,2,73,33,32,46,21,36,6,53,12,60,9,53,41,15,29,2,17,20,0,28,19,50,37,51,54,34,24,38,19,64,19,54,47,72,63,52,38,8,18,9,26,20,33,62,0,58,58,80,2,DLP/Anchor,DLP,Anchor,47,46,46,47,30,32,32,20,15,47
Kristian Nökkvi Hlynsson,20.0,MF,Sparta R'dam,is ISL,14.0,1211.0,2,3,14,11,32,14,19,23,18,29,33,35,50,18,25,15,32,10,0,20,22,7,6,14,9,11,15,12,16,0,6,16,8,83,84,31,74,85,82,8,27,19,27,29,31,100,100,25,25,96,1,APM,APM,,28,0,12,17,17,17,28,15,18,23
Leo Sauer,18.0,MF,NAC Breda,sk SVK,31.0,2482.0,7,2,0,17,45,16,48,31,12,12,69,65,23,54,100,100,100,100,58,53,100,29,25,0,21,40,51,30,28,44,25,48,31,44,63,85,0,12,74,29,18,36,44,100,76,75,100,80,80,82,0,Mezzala,Mezzala,,83,0,24,13,28,58,48,83,44,77
Levi Smans,20.0,MF,Heerenveen,nl NED,33.0,2298.0,3,2,13,32,100,37,83,57,71,53,88,96,73,47,62,60,48,50,67,40,67,11,12,20,14,36,38,14,6,50,12,43,16,70,61,50,1,0,65,13,18,27,82,77,52,75,100,72,72,62,0,APM,APM,,91,0,25,35,16,46,91,55,29,79
